,task_source,task_target,method,mae,r2,random_state
4,rest,passive,align_procrustes_paired,7.46162936700125,0.7399915451023882,67121
5,rest,passive,dummy,15.726786271450857,0.0,67121
0,rest,passive,no_alignment,15.131140161508467,0.0126206167187084,69479
1,rest,passive,align_z_score,9.634902670945495,0.5714916096010161,69479
2,rest,passive,align_recenter,9.947479387797062,0.5283399891854483,69479
3,rest,passive,align_recenter_rescale,10.31331906777315,0.5117163471443192,69479
4,rest,passive,align_procrustes_paired,8.914654845250684,0.6305657295088622,69479
5,rest,passive,dummy,15.64390015600624,0.0,69479
0,rest,passive,no_alignment,17.429120900403653,-0.20450064970111925,89475
1,rest,passive,align_z_score,12.151970452945212,0.36888598757803814,89475
2,rest,passive,align_recenter,11.886549998938339,0.33778603095896353,89475
3,rest,passive,align_recenter_rescale,10.406567737157475,0.5264464183046329,89475
4,rest,passive,align_procrustes_paired,8.231208538995938,0.6231861935747678,89475
5,rest,passive,dummy,16.06928237129485,0.0,89475
0,rest,passive,no_alignment,19.478005020529782,-0.4888340965365523,19457
1,rest,passive,align_z_score,10.889525484531212,0.45174331818940583,19457
2,rest,passive,align_recenter,9.746113154075978,0.5586261108953672,19457
3,rest,passive,align_recenter_rescale,10.143997294481808,0.5460510066335901,19457
4,rest,passive,align_procrustes_paired,7.821573276783199,0.7259037477381642,19457
5,rest,passive,dummy,15.763697347893913,0.0,19457
0,rest,passive,no_alignment,19.36431618590132,-0.41404091136207577,66557
1,rest,passive,align_z_score,10.07102864666518,0.5515532806827284,66557
2,rest,passive,align_recenter,9.18302882312687,0.5962082715305541,66557
3,rest,passive,align_recenter_rescale,10.014930524920436,0.5554653465576305,66557
4,rest,passive,align_procrustes_paired,7.8685070068047835,0.6890146075854038,66557
5,rest,passive,dummy,15.720483619344776,0.0,66557
0,rest,passive,no_alignment,22.171677113587503,-0.8780237821179344,77189
1,rest,passive,align_z_score,10.491481344382619,0.4693474666778932,77189
2,rest,passive,align_recenter,9.995210900257602,0.5438220212915171,77189
3,rest,passive,align_recenter_rescale,10.040686257579987,0.5448705385572726,77189
4,rest,passive,align_procrustes_paired,8.021751168907114,0.711326798615294,77189
5,rest,passive,dummy,15.929282371294851,0.0,77189
0,rest,passive,no_alignment,16.174257446076435,-0.13203860907170917,78953
1,rest,passive,align_z_score,11.644021391471007,0.38460443529658006,78953
2,rest,passive,align_recenter,11.059069918738798,0.44088185999139107,78953
3,rest,passive,align_recenter_rescale,9.498294924711042,0.5958033300028007,78953
4,rest,passive,align_procrustes_paired,7.771118705829323,0.6784530259458018,78953
5,rest,passive,dummy,15.777301092043682,0.0,78953
0,rest,passive,no_alignment,15.335437403544018,0.025249027142345115,52995
1,rest,passive,align_z_score,10.028690298427739,0.5367921610401358,52995
2,rest,passive,align_recenter,10.742380027207505,0.4752551022659054,52995
3,rest,passive,align_recenter_rescale,9.312736463156904,0.6033654612025945,52995
4,rest,passive,align_procrustes_paired,7.9219939932434436,0.68985985253796,52995
5,rest,passive,dummy,15.955741029641185,0.0,52995
0,rest,passive,no_alignment,13.398397948494086,0.19001307319915473,40757
1,rest,passive,align_z_score,9.134519065635246,0.5982160345916852,40757
2,rest,passive,align_recenter,10.505618795638698,0.4510546920700055,40757
3,rest,passive,align_recenter_rescale,9.344699939427276,0.5784731434700052,40757
4,rest,passive,align_procrustes_paired,7.861202291052908,0.604479064950275,40757
5,rest,passive,dummy,15.636989079563184,0.0,40757
0,rest,passive,no_alignment,10.200271547952692,0.5334524310306858,9692
1,rest,passive,align_z_score,12.293536362898168,0.3082838174826421,9692
2,rest,passive,align_recenter,11.027391444882447,0.44269090149903756,9692
