,task_source,task_target,method,mae,r2,random_state
5,rest,passive,dummy,15.866271450858033,0.0,17159
0,rest,passive,no_alignment,8.07225784677906,0.7140568904442401,80077
1,rest,passive,align_z_score,7.7089407744394,0.7398088883536282,80077
2,rest,passive,align_recenter,7.198713918042761,0.7712208443378761,80077
3,rest,passive,align_recenter_rescale,7.114567020739615,0.776417021848337,80077
4,rest,passive,align_procrustes_paired,4.8017801656120165,0.8411893537876892,80077
5,rest,passive,dummy,15.790062402496101,0.0,80077
0,rest,passive,no_alignment,7.696951211571,0.7279916068260446,35920
1,rest,passive,align_z_score,8.255414804857407,0.6892839096633409,35920
2,rest,passive,align_recenter,7.746178500157687,0.7204769686749813,35920
3,rest,passive,align_recenter_rescale,7.654718411869108,0.7340934086525654,35920
4,rest,passive,align_procrustes_paired,5.448360674282686,0.8214066424488468,35920
5,rest,passive,dummy,15.74449297971919,0.0,35920
0,rest,passive,no_alignment,8.871979493448043,0.6669294629416616,92067
1,rest,passive,align_z_score,8.360848483306448,0.6897807572892154,92067
2,rest,passive,align_recenter,8.096444451292705,0.7181126955922601,92067
3,rest,passive,align_recenter_rescale,7.7404025476179115,0.7417906150439161,92067
4,rest,passive,align_procrustes_paired,4.999350604216559,0.878293498754714,92067
5,rest,passive,dummy,15.880530421216847,0.0,92067
0,rest,passive,no_alignment,8.90048914549459,0.6625284764694779,67121
1,rest,passive,align_z_score,8.217648307852132,0.6974381654407424,67121
2,rest,passive,align_recenter,7.848873173759892,0.7285747983583895,67121
3,rest,passive,align_recenter_rescale,7.568227075213102,0.749102889370116,67121
4,rest,passive,align_procrustes_paired,5.008676759248531,0.8798781627013746,67121
5,rest,passive,dummy,15.726786271450857,0.0,67121
0,rest,passive,no_alignment,8.376478639548411,0.6784513566754518,69479
1,rest,passive,align_z_score,7.956694339154535,0.7126164034650444,69479
2,rest,passive,align_recenter,7.516367057344659,0.7390397084970866,69479
3,rest,passive,align_recenter_rescale,7.367440027781382,0.7488757333313847,69479
4,rest,passive,align_procrustes_paired,4.5722379130821675,0.8957747866057276,69479
5,rest,passive,dummy,15.64390015600624,0.0,69479
0,rest,passive,no_alignment,8.532530855152187,0.6828064946975025,89475
1,rest,passive,align_z_score,8.496337075601822,0.6798507739283856,89475
2,rest,passive,align_recenter,7.739138790132709,0.7386037340178407,89475
3,rest,passive,align_recenter_rescale,7.751771477375921,0.7428168722601409,89475
4,rest,passive,align_procrustes_paired,5.967582811041598,0.7032779095774344,89475
5,rest,passive,dummy,16.06928237129485,0.0,89475
0,rest,passive,no_alignment,9.496979253826362,0.5985295058258957,19457
1,rest,passive,align_z_score,8.442250963668933,0.6861072465729732,19457
2,rest,passive,align_recenter,7.932198064093959,0.7213152900962436,19457
3,rest,passive,align_recenter_rescale,7.623102456116999,0.7393038885533343,19457
4,rest,passive,align_procrustes_paired,4.877928432242549,0.8837214331413772,19457
5,rest,passive,dummy,15.763697347893913,0.0,19457
0,rest,passive,no_alignment,7.384469441768552,0.7553835743725404,66557
1,rest,passive,align_z_score,7.438721740661925,0.7453671890576805,66557
2,rest,passive,align_recenter,6.837893018564443,0.7843872937175047,66557
3,rest,passive,align_recenter_rescale,6.635014332262928,0.7951769509633625,66557
4,rest,passive,align_procrustes_paired,5.0632693966660955,0.8336883969390101,66557
5,rest,passive,dummy,15.720483619344776,0.0,66557
0,rest,passive,no_alignment,8.71828266206051,0.671543957111842,77189
1,rest,passive,align_z_score,8.97898453812802,0.6460927624011015,77189
2,rest,passive,align_recenter,8.172718019546858,0.7128317373814059,77189
3,rest,passive,align_recenter_rescale,7.973963895717336,0.7264390167838243,77189
4,rest,passive,align_procrustes_paired,4.963052167667784,0.8868251947967212,77189
5,rest,passive,dummy,15.929282371294851,0.0,77189
0,rest,passive,no_alignment,7.934049186370881,0.7157222944686795,78953
1,rest,passive,align_z_score,7.664452443789865,0.7347785145347121,78953
2,rest,passive,align_recenter,7.178496395273706,0.7675212619082247,78953
3,rest,passive,align_recenter_rescale,7.171853070613458,0.7703594984126277,78953
4,rest,passive,align_procrustes_paired,5.3396329243112,0.7638786659555163,78953
5,rest,passive,dummy,15.777301092043682,0.0,78953
0,rest,passive,no_alignment,8.147781044892014,0.7016663018737201,52995
1,rest,passive,align_z_score,7.9296024320039775,0.7136088164648003,52995
2,rest,passive,align_recenter,7.3993826840402415,0.754635310733899,52995
3,rest,passive,align_recenter_rescale,7.20905418252079,0.7636107682973186,52995
4,rest,passive,align_procrustes_paired,4.751854045905338,0.858238879856397,52995
5,rest,passive,dummy,15.955741029641185,0.0,52995
0,rest,passive,no_alignment,7.812129078344718,0.7216083474718799,40757
1,rest,passive,align_z_score,7.39892076750613,0.7462115593129025,40757
2,rest,passive,align_recenter,6.929080081997762,0.7708314803849367,40757
3,rest,passive,align_recenter_rescale,6.786131795372324,0.7850904266881717,40757
4,rest,passive,align_procrustes_paired,5.6945227186631,0.6744756763605908,40757
5,rest,passive,dummy,15.636989079563184,0.0,40757
0,rest,passive,no_alignment,9.479135154363007,0.607185900028995,9692
1,rest,passive,align_z_score,8.027630868251764,0.6978768613980286,9692
2,rest,passive,align_recenter,7.2805419377656815,0.7536616744916632,9692
3,rest,passive,align_recenter_rescale,7.27444734738993,0.7579775861347107,9692
