,scenario,parameter,method,mae,r2,random_state
13,Recenter,0.5,dummy,1.0,-0.019262838437493324,5578
14,Recenter,1.0,no_alignment,0.7571634467938554,0.30296957422179527,5578
15,Recenter,1.0,align_z_score,3.430292322804688,-7.14882724897341,5578
16,Recenter,1.0,align_recenter,0.08358678272083345,0.9734235457857187,5578
17,Recenter,1.0,align_recenter_rescale,0.018436552094552555,0.9996003591960047,5578
18,Recenter,1.0,align_procrustes,0.18851347614564584,0.969723980506398,5578
19,Recenter,1.0,align_procrustes_paired,0.003524016833315723,0.9999878292817912,5578
20,Recenter,1.0,dummy,1.0,-0.019262838437493324,5578
21,Recenter,1.5,no_alignment,1.1784733352220007,-0.41247130832550893,5578
22,Recenter,1.5,align_z_score,4.622498928895526,-14.013784761737316,5578
23,Recenter,1.5,align_recenter,0.13229808724944764,0.9497415383533332,5578
24,Recenter,1.5,align_recenter_rescale,0.03463051872132739,0.9985724140242223,5578
25,Recenter,1.5,align_procrustes,0.18851347614641562,0.9697239805062228,5578
26,Recenter,1.5,align_procrustes_paired,0.0035240168335994204,0.9999878292817891,5578
27,Recenter,1.5,dummy,1.0,-0.019262838437493324,5578
28,Recenter,2.0,no_alignment,1.6839277094435754,-1.44644928225257,5578
29,Recenter,2.0,align_z_score,5.442798163055689,-20.26451314190151,5578
30,Recenter,2.0,align_recenter,0.1774629592395662,0.924989770982616,5578
31,Recenter,2.0,align_recenter_rescale,0.05410785394039418,0.9965213474297666,5578
32,Recenter,2.0,align_procrustes,0.1885134761458837,0.9697239805063238,5578
33,Recenter,2.0,align_procrustes_paired,0.003524016834068641,0.9999878292817869,5578
34,Recenter,2.0,dummy,1.0,-0.019262838437493324,5578
0,Recenter,0.0,no_alignment,0.0036881854734327362,0.9999868264829453,8322
1,Recenter,0.0,align_z_score,0.3085162521943868,0.8900300420352252,8322
2,Recenter,0.0,align_recenter,0.003688185473237004,0.9999868264829462,8322
3,Recenter,0.0,align_recenter_rescale,0.003688185473187545,0.999986826482947,8322
4,Recenter,0.0,align_procrustes,0.23043163490541374,0.94944143871011,8322
5,Recenter,0.0,align_procrustes_paired,0.0036881854731746883,0.999986826482947,8322
6,Recenter,0.0,dummy,1.0,-0.011085804970001556,8322
7,Recenter,0.5,no_alignment,0.9024004921832515,0.18453163987444776,8322
8,Recenter,0.5,align_z_score,0.78109135211555,0.44872883213005277,8322
9,Recenter,0.5,align_recenter,0.04139895741919103,0.9896146782952523,8322
10,Recenter,0.5,align_recenter_rescale,0.00987469111350068,0.9998902501447259,8322
11,Recenter,0.5,align_procrustes,0.23043163489638482,0.9494414387134812,8322
12,Recenter,0.5,align_procrustes_paired,0.003688185472969902,0.9999868264829496,8322
13,Recenter,0.5,dummy,1.0,-0.011085804970001556,8322
14,Recenter,1.0,no_alignment,1.0600718305098358,-0.06591476367695681,8322
15,Recenter,1.0,align_z_score,1.3544814080079177,-0.575396764033892,8322
16,Recenter,1.0,align_recenter,0.10257317633019948,0.9660213411598148,8322
17,Recenter,1.0,align_recenter_rescale,0.02814322345878242,0.9990497987409404,8322
18,Recenter,1.0,align_procrustes,0.2304316348715786,0.949441438722927,8322
19,Recenter,1.0,align_procrustes_paired,0.0036881854723734685,0.9999868264829564,8322
20,Recenter,1.0,dummy,1.0,-0.011085804970001556,8322
